##LongTitle: Ботаніка. Агульная (БНТ)
##HTMLDescription_BEGIN
<div>
	<p class="dictdesc-st">Створана на падставе:</p>
	<p><b>Ботаніка. Агульная і спэцыяльная</b>. Менск: Інбелкульт, 1924.</p>
</div>
<div>
	<p class="spoiler">Прадмова</p>
	<p>Проэкт беларускай ботанічнай тэрмінолёгіі, надрукованы ў гэтай кнізе, складаецца з дзьвюх частак. Першая зьмяшчае ў сабе тэрмінолёгію Агульнае Ботанікі (анатомія, морфолёгія і фізіолёгія расьлін) і складаецца з расійска-беларускага слоўніка і пры ім двох паказчыкаў − для лацінскіх і беларускіх тэрмінаў з Агульнае Ботанікі. Другая частка складаецца з лацінска-расійска-беларускага слоўніка назваў вышэйшых расьлін (гал. чынам Spermatophyta), спатыканых і агульна вядомых у Беларусі. Назвы сем‘яў, родаў і відаў расьлін зьмешчаны тут разам у парадку лацінскага альфабэту. Да асноўнага слоўніка дададзены два паказчыкі тэрмінаў − беларускі і расійскі. Дзякуючы гэтаму, адшукаць патрэбную назву ці тэрмін павінна быць даволі лёгка.</p>
	<p>Увесь проэкт тэрмінолёгіі быў уперад зложаны Дырэктарам Менскае Балотнае Станцыі, сябрам Інбелкульту <b>Вітольдам Міхальскім</b>. Пасьля на працягу 1922−1923 гадоў проэкт быў перагледжаны і прыняты Прыродазнаўчай Сэкцыяй Інстытуту Беларускае Культуры, а часткаю быў заслуханы і ў пленуме Інбелкульту. Найбольш значны ўдзел у гэтай працы па перагляду прыймалі сябры Інбелкульту С. Некрашэвіч, М. Азбукін, М. Грамыка, А. Круталевіч, Ч. Родзевіч і А. Смоліч.</p>
	<p>Першая частка проэкту (Агульная Ботаніка) была ўжо надрукована ў № 7−8 „Вест. Нар. Кам. Асьветы С. С. Р. Б.“ за 1922 г. Вымагала яна, аднак, пэўных паправак і дапаўненьняў. Папраўкі і дадаткі ў гэтую частку проэкту, а таксама ўпарадкаваньне і тэхнічная рэдакцыя абедзьвюх частак, улажэньне паказчыкаў і г. д. выпаўнены сябрам Інбелкульту Ар. Смолічам.</p>
	<p>Выпускаючы гэты сшытак тэрмінолёгіі ў сьвет, мусім адзначыць яе проэктовы характар. Беларуская мова мае дужа багаты запас ботанічных назваў і тэрмінаў, якія толькі часткова выяўлены; на грунце гэтага выяўленага народнага матар’ялу і пабудована нашая тэрмінолёгія. Аднак новыя запісы і досьледы дадуць, пэўна, шмат больш гэтага матар’ялу, чым яго было ў нашым карыстаньні, і тады можна будзе паправіць тыя недасканаласьці, якія могуць спаткацца ў гэтай працы.</p>
	<p>Усе ўвагі і дадаткі да ботанічнае тэрмінолёгіі трэба накіроўваць у Інстытут Беларускае Культуры (Менск, Наркампрос), у Прыродазнаўчую Сэкцыю.</p>
</div>
##HTMLDescription_END
##ArticleLang: ru/be

акклиматизация	акліматызацыя
альпийская флора	альпэйская расьліннасьць, флёра
анемофильные растения	ветрапыльныя расьліны
антеридий	заплодня, антэрыд
антоциан	антоцыян
апотеция	апотэцыя
арктическая область	арктычная краіна
архегоний	родніца, архэгон
аспарагин	ашпарагіна
ассимиляция	прысваеньне, асыміляцыя
ахроматин	ахроматын
базидиальные грибы (Basidiomycetes)	базідыяльныя грыбы
базидия	базідыя
бактерии клубеньковые	бактэрыі корнябародаўкавыя
безбелковые семена	бязьбелевае насеньне
безцветковые растения	бяскветкавыя расьліны
безчерешковый (лист)	бесхвастковы (ліст)
белковое вещество	бялковая матэрыя, белкавіна
белковые семена	бе´левае насеньне
белок (albumen)	бялок
белок (семени - endospermum)	насенная бель
боб (плод - legumen)	струк
болото моховое	імшара
бор	бор
брожение	бушаваньне
брюшко (архегония)	чэраўка (родніцы)
бугорок	гарбок, гарбінка
бутон	пупышка
вакуоля	ваднічок, вакуоля
вегетативный	роставы (вэгетацыйны)
венчик (corolla)	вяночак
венчиковидный околоцветник	вяночкаватае аквецьце
вересчатник	верасьняк
верхушечная клетка	верхавінная каморка
верхушечный лист	верхавінны ліст
верхушечный рост	верхавінны рост
верхушка	верхавіна
ветвление (ramificatio)	галінаваньне
ветвистый	галіністы
ветка	галіна
ветроопыляемые растения	ветрапыльныя расьліны
вечнозеленые растения	вечназялёныя расьліны
вид (species)	від
видообразование	відатварэньне
вилка (разветвление)	вілкі
винная ягода	фіга
влагалище (vagina)	похва
вместилище выделений	камора выдзелінаў
водоросли (Algae)	вадаросты
водяные растения	вадзяныя расьліны
войлок	лямец
волокна древесные	валокны дрэўныя
волокна лубяные	валокны лыкавыя
волосок (trichoma)	валасок
воронкообразный (цветок)	лейкаваты
восковой налет	васковая павалока
восходящий ток	узьбежны ток
вспомогательная клетка	дапаможная каморка
вторичный	другарадны
вьющиеся растения	уюнцовыя, павойныя расьліны
галофиты	расьліны-солялюбы
гамета	гамэта
гелиотропизм	сьветлазваротнасьць, геліотропізм
геотропизм положительный	землязваротнасьць (геотропізм) простая
геотропизм отрицательный	землязваротнасьць (геотропізм) адмоўная
гербарий	зельнік
гибрид	мяшанец, гібрыд
гигроскопическое движение	гіграскопавы рух
гигрофиты	расьліны-мокралюбы
гифы	гіфы
глазок	вочка
глазок спящий	вочка сьпячае
гниение	гніцьцё
годичный слой	гадавы слой
головка (capitulum)	галоўка
голосемянные (Gymnospermae)	голанасенныя
городчатый (лист)	зарубчасты
грибница	грыбня
губа (labellum)	губа
губчатая ткань	губкаватая тканка
гумус	перагной, гумус
движение растения	рух расьліны
двойное оплодотворение	падвойнае запладненьне
двоякоперистый лист	двойча-перкаваты ліст
двугнездный (плод)	двохзакутны
двугубый венчик	двугубы вяночак
двудольные растения (Dicotyledones)	двулісьценевыя
двудомные растения	разнапнёвыя расьліны
двулетние растения	двохгадовыя расьліны
двуполый цветок	двохродавая кветка
деление клетки	дзяленьне каморкі
деревянение (оболочки)	дзервяненьне (абалонкі)
деревянистый	дзеравісты
диаграмма (цветка)	дыяграма
дикорастущий	дзікарослы
диморфизм	двупастацёвасьць, дыморфізм
дичок	дзічка
дланевидно-раздельный лист	далонепадзельны ліст
доля (листа - pars)	частка (ліста)
донце (луковицы)	пятка (цыбуліны)
древесина (Xylem)	драўніна
древесные волокна	дрэўныя валокны
древовидный папоротник	дрэваватая папараць
дрожжи	дрожджы
друза	друза
дубильные вещества	гарбоўныя матэрыі
дугонервный лист	дугажылкаваты ліст
дыхание	дыханьне
дышать	дыхаць
жгутик (fagellum)	джгуцік
желвачки (клубеньки - у бобовых)	каранёвыя бародаўкі
железистый волосок	залозісты валасок
женский цветок	слупковая, жаночая кветка
живчик (zoospora)	жыўчык, зароднік
жилка	жылка
жиры	тлушчы
жолудь(жёлудь)	жолуд
завиток (cincinnus)	завітка
завязь	плодазавязь
зазубренный	шчарбаты
замкнутый пучок	замкнёная вязка
замыкающая клетка	замыкальная каморка
запасные вещества	запасная матэрыя
зародыш (embryo)	зародак
зародышевый мешок	зародкавы мяшочак
заросток (prothalium)	прадростак
зачаток	зачатак
зачаточный	зачатковы
защитный	ахоўны
звездчатый	заркаваты
зев (faux)	зеў
зерна крахмальные	крухмальныя галачкі
зерна хлорофиловые	хлёрафільныя дробачкі
зерновка (caryopsis)	зерняўка
злаки (Gramineae)	травы
зольное вещество	попельная матэрыя
зонтик (umbella)	парасонік
зооспора (zoospora)	жыўчык, зароднік
зрелость	дасьпеласьць
зубчатый	зубкаваты
интеркалярный рост	устаўкавы рост
инулин	інулін
испарение (transpiratio)	параваньне
камбиальное кольцо	мязговы персьцень
камбий (cambium)	мязга
