##Title: Ботаніка. Спэцыяльная (БНТ)
##HTMLDescription_BEGIN
<div>
	<p class="dictdesc-st">Створана на падставе:</p>
	<p><b>Ботаніка. Агульная і спэцыяльная</b>. Менск: Інбелкульт, 1924.</p>
</div>
<div>
	<p class="spoiler">Прадмова</p>
	<p>Проэкт беларускай ботанічнай тэрмінолёгіі, надрукованы ў гэтай кнізе, складаецца з дзьвюх частак. Першая зьмяшчае ў сабе тэрмінолёгію Агульнае Ботанікі (анатомія, морфолёгія і фізіолёгія расьлін) і складаецца з расійска-беларускага слоўніка і пры ім двох паказчыкаў − для лацінскіх і беларускіх тэрмінаў з Агульнае Ботанікі. Другая частка складаецца з лацінска-расійска-беларускага слоўніка назваў вышэйшых расьлін (гал. чынам Spermatophyta), спатыканых і агульна вядомых у Беларусі. Назвы сем‘яў, родаў і відаў расьлін зьмешчаны тут разам у парадку лацінскага альфабэту. Да асноўнага слоўніка дададзены два паказчыкі тэрмінаў − беларускі і расійскі. Дзякуючы гэтаму, адшукаць патрэбную назву ці тэрмін павінна быць даволі лёгка.</p>
	<p>Увесь проэкт тэрмінолёгіі быў уперад зложаны Дырэктарам Менскае Балотнае Станцыі, сябрам Інбелкульту <b>Вітольдам Міхальскім</b>. Пасьля на працягу 1922−1923 гадоў проэкт быў перагледжаны і прыняты Прыродазнаўчай Сэкцыяй Інстытуту Беларускае Культуры, а часткаю быў заслуханы і ў пленуме Інбелкульту. Найбольш значны ўдзел у гэтай працы па перагляду прыймалі сябры Інбелкульту С. Некрашэвіч, М. Азбукін, М. Грамыка, А. Круталевіч, Ч. Родзевіч і А. Смоліч.</p>
	<p>Першая частка проэкту (Агульная Ботаніка) была ўжо надрукована ў № 7−8 „Вест. Нар. Кам. Асьветы С. С. Р. Б.“ за 1922 г. Вымагала яна, аднак, пэўных паправак і дапаўненьняў. Папраўкі і дадаткі ў гэтую частку проэкту, а таксама ўпарадкаваньне і тэхнічная рэдакцыя абедзьвюх частак, улажэньне паказчыкаў і г. д. выпаўнены сябрам Інбелкульту Ар. Смолічам.</p>
	<p>Выпускаючы гэты сшытак тэрмінолёгіі ў сьвет, мусім адзначыць яе проэктовы характар. Беларуская мова мае дужа багаты запас ботанічных назваў і тэрмінаў, якія толькі часткова выяўлены; на грунце гэтага выяўленага народнага матар’ялу і пабудована нашая тэрмінолёгія. Аднак новыя запісы і досьледы дадуць, пэўна, шмат больш гэтага матар’ялу, чым яго было ў нашым карыстаньні, і тады можна будзе паправіць тыя недасканаласьці, якія могуць спаткацца ў гэтай працы.</p>
	<p>Усе ўвагі і дадаткі да ботанічнае тэрмінолёгіі трэба накіроўваць у Інстытут Беларускае Культуры (Менск, Наркампрос), у Прыродазнаўчую Сэкцыю.</p>
</div>
##HTMLDescription_END
##ArticleLang: la/ru/be

Abies Tourn	пихта	ельніца 
Abies alba Mill.	пихта белая	ельніца белая 
Abies sibirica Ledeb.	пихта сибирская	ельніца сібірская 
Abietaceae	елевые	ельніцавыя 
Acer L	клен	клён 
Acer campestre L.	неклен	клён палявы 
Acer platanoides L.	клен обыкновенный	клён звычайны 
Acer pseudoplatanus L.	явор	явар (у папяровым – клён явар)
Acer tataricum L.	черноклен	клён татарскі 
Aceraceae DC.	кленовые	кляновыя 
Achillea L.	тысячелистник	крываўнік 
Achillea Millefoliuin L.	тысячелистник обыкновенный	крываўнік звычайны 
Achillea nobilis L.	тысячелистник благородный	крываўнік шляхэтны 
Aconitum L.	борец	мардоўнік 
Aconitum Napellus L.	борец	мардоўнік звычайны
Acorus L.	аир	аep 
Acorus Calamus L.	аир болотный	аер балотны 
Actaea L.	воронец	варанец 
Actaea spicata	воронец колосистый	варанец каласісты 
Adonis L.	желтоцвет	прыгожнік 
Adonis vernalis L.	желтоцвет весенний	прыгожнік веснавы 
Aegopodium L.	сныть	сьнітка 
Aegopodium Podagraria L	сныть обыкновенная	сьнітка звычайная 
Aesculus L. 	каштан конский	каштан 
Aesculus Hippocastanum	каштан конский	каштан конскі
Agrimonia L.	репейник	дзядкі 
Agrimonia Eupatoria L.	репейник обыкновенный	дзядкі звычайныя 
Agropyrum PB.	пырей	пырнік 
Agropyrum caninum PB.	пырей собачий	пырнік сабачы 
Agropyrum repens PB.	пырей ползучий	пырнік паўзучы 
Agrostemma L	куколь	кукаль 
Agrostemma Githago L.	куколь обыкновенный	кукаль звычайны 
Agrostis L.	полевица	мятліца 
Agrostis alba L.	полевица белая	мятліца белая 
Agrostis canina L.	полевица собачья	мятліца собачая 
Agrostis vulgaris With.	полевица обыкновенная	мятліца звычайная 
Ajuga L.	живучка	гарлянка 
Ajuga genevensis L.	живучка мохнатая	гарлянка валасістая 
Ajuga reptans L.	живучка ползучая	гарлянка паўзучая 
Alchemilla L.	манжетка	гусялапка 
Alchemilla vulgaris L.	манжетка	гусялапка звычайная
Alectorolophus All.	погремок	званец 
Alectorolophus major Rchb.	погремок	званец большы 
Alectorolophus minor Wimm.	погремок	званец меншы 
Alisma L.	частуха	шальнік 
Alisma Plantago L.	частуха подорожник	шальнік трыпутнікавы 
Alismataceae	частуховые	шальніковыя 
Alliaria	чесночная трава	часнотка 
Alliaria officinalis Andrz.	чесночная трава	часнотка лекавая 
Allium L.	лук, чеснок	часнок 
Allium ocutangulum Schrad	лук угластый	часнок востракутны 
Allium Сера L	лук обыкновенный	цыбуля 
Allium sativum L	чеснок	часнок 
Allium sphaerocephalum L.	чеснок круглоголовый	часнок круглагаловы 
Allium ursinum L.	чеснок медвежий	часнок мядзьвежжы 
Alopecurus L.	батлачик	лісахвост 
Alopecurus fulvus Sm.	батлачик оранжевый	лісахвост жоўты 
