##Title: Назовы жывёл (БНТ)
##HTMLDescription_BEGIN
<div>
	<p class="dictdesc-st">Створана на падставе:</p>
	<p><b>Назовы жывёл</b>. Менск: Інбелкульт, 1927.</p>
</div>
<div>
	<p class="spoiler">Прадмова</p>
	<p>У гэтым выпуску „Беларускае Навуковае Тэрмінолёгіі” зьмешчаны назовы пераважна тых жывёл, якія сустракаюцца ў межах Беларусі, а таксама тых, што ўспамінаюцца ў элемэнтарных падручніках па прыродазнаўстве. Пры ўкладаньні проекту назоваў былі выкарыстаны матар’ялы, зьмешчаныя ў слоўніку Насовіча, у „Маскоўска-Крыўскім слоўніку” Ластоўскага і ў іншых друкаваных выданьнях, а таксама матар’ялы, сабраныя А. Фядзюшыным і іншымі членамі Інстытуту Беларускае Культуры.</p>
	<p>На жаль, пры ўкладаньні гэтага зборніку яшчэ не маглі быць выкарыстаны ўсе матар’ялы Слоўніка-Тэрмінолёгічнай Камісіі Інбелкульту, атрыманыя ў вялікім ліку за апошнія часы ад краязнаўчых організацый Беларусі і ад корэспондэнтаў Інбелкульту. Зразумела, што Прыродазнаўчая Сэкцыя глядзіць на гэты сшытак, як на проект, які толькі часова можа адыгрываць ролю даведніка для настаўніка прыродазнаўства ў беларускай сярэдняй школе.</p>
	<p>Кожны радавы лацінскі назоў перадаваўся адпаведным беларускім словам і, па магчымасьці, назовы відаў адпаведна перададзены ў беларускай мове двума словамі. Лацінскія назовы ўзяты часткова з кніг: „Л. С. Берг. Рыбы пресных вод России. 2 изд. Госиздат, 1923”, „М. А. Мензбир. Птицы России. Изд. 2. Москва. 1895”, часткаю з падручнікаў для вышэйшай і сярэдняй школы, ды з іншых крыніц.</p>
	<p>Складзены М. Азбукіным проект назоваў разглядаўся спэцыяльнай Тэрмінолёгічнай Камісіяй пры Прыродазнаўчай Сэкцыі Інбелкульту ў складзе І. Серады, А. Фядзюшына, Я. Каранеўскага, М. Поўзік і Яцанткоўскага. З боку мовы і правапісу беларускія назовы жывёл перагледжаны Правапісна-Тэрмінолёгічнай Камісіяй Інбелкульту.</p>
	<p>Выпуск дапушчаны да выданьня Прэзыдыумам Прыродазнаўчай Сэкцыі ІБК.</p>
</div>
##HTMLDescription_END
##ArticleLang: la/ru/be

Abramis	лещи	лешч
Abramis ballerus L.	синец	лешч сінец
Abramis brama L.	лещ	лешч звычайны
Abramis sapa Pallas	белоглазка, глазач	лешч белавокі
Acalephae — гл. Discomedusae		
Acanthia lectularia L.	клоп постельный	клоп пасьцельны
Acanthis	чечетки	чачотка
Acanthis cannabina	коноплянка, реполов	чачотка-канаплянка
Acanthis linaria	чечетка	чачотка звычайная
Acanthopterygii	колючеперые	калючапёрыя
Accentor	завирушки	тынаўка
Accipiter	перепелятники	карагольчык
Accipitres	птицы хищные	драпежнікі
Acerina	ершы	ерш
Acerina cernua L.	ёрш	ерш звычайны
Acherontia atropos L.	голова мертвая	мярцьвяк звычайны
Acipenser	осетры	асяцёр
Acipenser güldenstädti Brandt	осётр русский	асяцёр усходні
Acipenser ruthenus L.	стерлядь	асяцёр-чачуга
Acipenser stellatus Pallas	севрюга	асяцёр-пярэсьцік
Acipenser sturio L.	осётр немецкий	асяцёр балтыцкі
Acrania	бесчерепные	бесчарэпныя
Acridiidae	саранчовые	шаранчакі
Acrocephalus	камышевки	чаротаўка
Actinia	актинии	актынія
Aeschna grandis L.	коромысло	бабка звычайная
Aglossa	безъязычные	безьязыкія
Agriotes segetis L.	щелкун посевный	кавалік засеўны
Agrotis segetum Hülk	совка озимая	ночнік азімы 
Alauda	жаворонки	жаўранка
Alauda arvensis L.	жавовонок полевой	жаўранка звычайная
Alauda cristata L.	жаворонок хохлатый	жаўранка сьмяцей
Alburnus	уклейки	верхаводка
Alburnus alburnus L.	уклейка	верхаводка звычайная
Alcedo	зимородки голубые	зімародак
Alces	лоси, сохатые	лось
Alligator	аллигаторы, кайманы	алігатар
Alosa	сардинки	сардынка
Amoeba	амебы	амэба
Ampelis	свиристели	амялушка
Amphibia	земноводные, амфибии	вадаземнікі, амфібіі
Amphioxus lanceolatus	ланцетник	лянцэтнік тонкі
Anamorpha	насекомые с прямым превращением крылатые 	анаморфы
Anas	утки	качка
Anas acuta L.	шилохвость	качка шылахвостка
Anas boschas L.	кряква	качка крыжанка
Anas circia L.	чирок-трескунок	качка чырка
Anas crecca L.	чирок-свистунок	качка цыранка
Anas domestica L.	утка домашняя	качка свойская
Anas penelope L.	свиязь	качка сьвістунка
Anas strepera	утка серая	качка неразьня
Anas tadorna L.	утка печанка	качка пярэстая
Anguilla anguilla L.	угорь речной	вугор рэчны
Anguis fragilis L.	веретенница	сьлівень звычайны
Anisoplia austriaca Herbst	жук хлебный, кузька	грачанік аўстрыйскі
Anisoplia crucifera Herbst	крестоносец	грачанік крыжавы
Annelides	черви кольчатые	анэліды
Anodonta	беззубки	начовачкі
Anopheles	комары малярийные	малярыйнік
Anser	гуси	гусь (ж. р.)
Anthonomus pomorum L.	цветоед яблоневый	кветкажэр яблыневы
Anthophila — гл. Apidae		
Anthozoa	кораллы	каралі
Anthropomorpha	человекообразные, человекоподобные 	чалавекападобныя
Anthropopithecus	шимпанзе	шымпанза
Anthus	коньки	стракатка
Antilocapra	антилопа вилорогая	віларог
Antilope	антилопы	антылёпа
Antilopinae	антилоповые	антылёпы
Anura	бесхвостые	бясхвостыя
Aphidae	тли	траўніцы
Aphis brassicae L.	тля капустная	траўніца капусная
Aphis mali Fabr	тля яблонная	траўніца яблыневая
Apidae	пчелиные	пчаліныя
Apis mellifica L.	пчела обыкновенная	пчала звычайная
Aplacentalia	беспоследовые	бязьмесцаплодныя
Aporia crataegi — гл. Pieris crataegi		
Aptenodytes	пингвин	пінгвін
Apterygogenea	насекомые с прямым превращением 	бяскрылародныя
Apteryx	киви, бескрылы	бяскрыл
Aquila	орлы	арол
Aquila nobilis Pallas	беркут	арол вялікі
Arachnoidea	паукообразные	павукападобныя
Arctomys	сурки	байбак
Ardea	цапли	чапля
Ardea minuta L.	выпь малая	чапля-лазянік
Ardea purpurea L.	чепура рыжая	чапля чырвоная
Ardea stellaris L.	выпь большая	чапля-бугай
Ardetta minuta — гл. Ardea minuta		
Argonauta	ботик	аргонаўта
Arion	слизни	смаўжак
Arthropoda	членистоногие	суставаногія
Artiodactyla	парнокопытные	парнакапытныя
Ascaris	аскариды	аскарыда
Ascaris megalocephala	аскарида лошадиная	аскарыда конская
Ascidia	асцидии	асцыдыя
Asellus aquaticus	мокрица водяная, ослик водяной	макрычніца вадзяная
Asio	совы ушастые	вушанка
Aspius Agassiz	жерехи	бялізна
Astacus fluviatilis	рак речной	рак рэчны
Asteroidea	звезды морские	зорачніцы
Astur	ястреба	куратнік
Athene	сычи	сыч
Athene noctua Scop.	сыч	сыч-сіпель
Auchenia — гл. Lama		
Aves	птицы	птушкі
Avicula	жемчужницы	жамчугоўка
Avicularia	пауки-птицеяды	птушкаед
Aythya ferina — гл. Fuligula ferina		
Babyrussa	бабируссы	бабіруса
Bacillus	бацилла	бацыля
Bacteria	бактерии	бактэрыі
Balaena	киты	кіт
Balaena mysticetus	кит	кіт грэнляндзкі
Balaenoptera	полосатики	паскавацік
Balanus	желуди морские	балян
Barbus	усачи	марона
Blaps mortisaga L.	медляк вещатель	смуроднік чорны
Blatta germanica — гл. Phyllodromia germanica		
Blattidae	тараканы	тараканы
Blicca Heckel	густеры	цяроха
Blicca bjorkna L.	густера	цяроха звычайная
Boa	боа	боа
Bombina bombina L.	жерлянка	жарлянка звычайная
Bombus terrestris L.	шмель земляной	чмель земляны
Bombycidae	шелкопряды	папрадухі
Bombyx mori L.	шелкопряд тутовый	папрадуха шаўкоўна
Bonasa canescens Sparrm	рябчик	арабок звычайны
Bos	быки	бык
Bos anoa	аноа	бык аноа
Bos bison	бизон	бык бізон
Bos bonasus	зубр	бык зубар
Bos bubalus	буйвол индийский, буйвол азиатский	бык бавал
Bos frontalis	гаял	бык лабан
Bos gaurus	гаур	бык гаур
Bos indicus	зебу	бык індыйскі
Bos primigenius	тур	бык тур
Botaurus minutus L. — гл. Ardea minuta		
Botaurus stellaris L. — гл. Ardea stellaris		
Bovidae	полорогие	быкавыя
Brachelytra — гл. Staphylinidae		
Brachiopoda	плеченогие	плечаногія
Bradypus	ленивцы	лянівец
Bryozoa	мшанки	мшанкі
Bubalus — гл. Bos bubalus		
Bubo maximus Ger.	филин	пугач вялікі
Bucerotidae	птицы-носороги	птушкі-дзюбарогі
Budytes	трясогузки желтые	пліска
Bufo	жабы	рапуха, варопаўка
Buprestidae	златки	златкі
Buteo	канюки	канюх
Caloptenus italicus L.	саранча итальянская	прусік італійскі
Camelidae	верблюдовые	вярблюдавыя
Camelopardalis	жираффы(жираф)	жырафа
Camelopardalis giraffa	жираффа(жираф)	жырафа афрыканская
Camelus	верблюды	вярблюд
Camelus bactrianus	верблюд двугорбый	вярблюд двугорбы
Camelus dromedarius	верблюд одногорбый, дромадер	вярблюд аднагорбы
Cancer pagurus	крабб(краб)	краб звычайны
Canis L.	собаки	сабака
Canis aureus	шакал	сабака шакал
Canis familiaris	собака домашняя	сабака свойскі
Canis lagopus	песец, лисица полярная	сабака паўночны
Canis lupus L.	волк	воўк
Canis procyonoides	собака енотовая	сабака янотавы
Canis vulpes	лисица	ліс
Cannabina — гл. Acanthis cannabina		
Cantharidae — гл. Vesicantia		
Capra	козы	каза
Capra hircus	коза домашняя	каза свойская
Capreolus	косуля	казуля
Caprimulgus	козодои	ляляк
Carabidae	жужжелицы	жужалкі
Carabus granulatus L.	жужжелица зернистая	жужалка зе´рневая
Carabus hortensis L.	жужжелица садовая	жужалка садовая
Carassius	караси	карась
Carcharias glauca	акула голубая	акула белая
Carcharodon	акула людоед	кархародон
Carduelis	щеглы	шчыгол
Carinatae	килегрудые	грэбнягрудыя
Carnivora	хищные, плотоядные	мясажэры
Carpocaspa pomonella Hb	плодожорка яблочная	плодажэр яблычны
Carpodacus	чечевицы	чаромашнік
Carpophaga	мыши летучие плодоядные	кажаны плодаеды
Castor fiber L.	бобр	бабёр звычайны
Casuarius	казуары	казуар
Catarrhini	узконосые	вузканосыя
Cathartes — гл. Neophron		
Catoblepas gnu — гл. Connochaetes gnu		
Catodon	кашалоты	катодон
Caudata — гл. Urodela		
Cavia	свинки морские	грызуха
Cavicornia	полорогие	пустарогія
Cebidae	обезьяны широконосые настоящие	капуцынавыя
Cebus	капуцыны	капуцын
Cecidomyia destructor Say	муха гессенская, комар хлебный	гэсэнка шкодная
Centetes	тенреки	тэнрэк
Cephalopoda	головоногие	галаваногія
Cerambycidae	усачи, дровосеки	вусачы
Cerambyx heros Scop	усач большой	вусач вялікі
Ceratodus	рогозуб	рогазуб
Cercocebus	мангабей	мангабэй
Cercopithecidae	обезьяны собакообразные	сабакападобныя
Certhia	пищухи	паўзунок
Certhiidae	пищуховые	паўзункі
Cervidae	оленевые	аленевыя
Cervus	олени	алень
Cervus alces — гл. Alces		
Cervus capreolus — гл. Capreolus		
Cervus elaphus	олень благородный	алень звычайны
Cestodes	черви ленточные, глисты ленточные	істужнікі
Cetacea	китообразные	рыбазьверы
Cetonia aurata L.	бронзовка обыкновенная	кветкаед залаты
Chamaeleo	хамелеоны	хамэлеон
Charadrius	ржанки	сявец
Chaulelasmus streperus — гл. Anas strepera		
Chelidon urbica L.	ласточка городская	падластаўка гарадзкая
Chelonia	черепахи	чарапахі
Chimaera	химеры	хімэра
Chinchilla	шиншиллы	шыншыля
Chiromys	руконожка, ай-ай	рукамышка
Chiroptera	рукокрылые, мыши летучие	кажаны
Chloris	зеленушки	зелянушка
Chondropterygii	хрящеперые	храсткапёрыя
Chordata	хордовые	струньнікі
Chrysochloris	златокроты	златакрот
Chrysomelidae	листоеды	лістаеды
Chrysomitris	чижи	чыжык
Cicada orni L.	цикада ясеневая	цыкада ясеневая
Cicadidae	цикады	цыкады
Cicindela	скакуны (род)	скакунчык
Cicindela campestris L.	скакун полевой	скакунчык палявы
Cicindela silvatica L.	скакун лесной	скакунчык лясны
Cicindelidae	скакуны (семейство)	скакунчыкі
Ciconia	аисты	бусел, бацян
Ciconia alba (Briss)	аист белый	бусел белы
Ciconia nigra L.	аист черный	бусел чорны
Ciliata	инфузории ресничные	мігаўнікі
Circus	луни	мышалоў
Cirripedia	усоногие	вусаногія
Clangula — гл. Fuligula clangula		
Clupea harengus	сельдь морская	селядзец морскі
Clupeidae	сельдевые	селядцовыя
Cobitis fossilis — гл. Misgurnus fossilis		
Coccidae	червецы (семейство)	чарвяцы
Coccinella septempunctata L.	коровка божия семиточечная	зязюлька сямікропкавая
Coccinellidae	коровки божьи	кароўкі бож’і, зязюлькавыя
Coccoborus virginianus	кардинал	кардынал віргінскі
Coccothraustes vulgaris Pallas	дубонос	тоўстадзюб звычайны
Coccus	кокк	кок
Coccus	червецы (род)	чарвечнік
Coccus cacti L.	кошениль	чарвечнік кактусавы
Coelenterata	кишечнополостные	бяскішкавыя, кішкапаражнёвыя
Colaeus monedula — гл. Corvus monedula		
Coleoptera	жесткокрылые, жуки	жукі
Collocalia	саланганы	салянгана
Colobus	обезьяны беспалые	бяспал
Coluber	полозы	вужака, полаз
Colubriformia	ужевидные	вужакі
Columba	голуби	голуб
Columba domestica	голубь домашний	голуб свойскі
Columba oenas Briss	клинтух	голуб дзікі
Columba palumbus L.	вяхирь	голуб вялікі
Colymbus	гагары	гагара
Colymbus arcticus L.	гагара чернозобая	гагара нырэц
Colymbus auritus — гл. Podiceps auritus		
Colymbus cristatus — гл. Podiceps cristatus		
Colymbus nigricollis — гл. Podiceps nigricolis		
Connochaetes gnu	гну	конябык гну
Copepoda	рачки веслоногие	весланогія
Coracias garrula L.	сизоворонка, сивоворонка	сіваграк сіні
Coregonus L.	сиги	сялява
Corone cornix — гл. Corvus cornix		
Coronella austriaca Laur	медянка	мядзянка
Corvus	вороны	варона
Corvus corax L.	ворон	крумкач, груган
Corvus cornix L.	ворона серая	варона шэрая
Corvus corone L.	ворона черная	варона чорная
Corvus frugilegus L.	грач	грак
Corvus monedula Briss	галка	галка
Cossidae	древоточцы	дрэваточы
Cossus ligniperda Fabr	древоточец ивовый	дрэваточ вярбінавы
Cotile riparia	ласточка береговая	норка паўзьбярэжная
Cottus gobio L.	подкаменщик, бычек	бычок звычайны
