##Title: Слоўнік глебазнаўчае тэрмінолёгіі (праект) (БНТ)
##HTMLDescription_BEGIN
<div>
	<p class="dictdesc-st">Створана на падставе:</p>
	<p><b>Слоўнік глебазнаўчае тэрмінолёгіі (праект)</b>. Менск: Інбелкульт, 1927.</p>
</div>
<div>
	<p class="spoiler">Ад Галоўнае Тэрмінолёгічнае Камісіі</p>
	<p>Слоўнік глебазнаўчае тэрмінолёгіі выходзіць у сьвет, як і папярэднія тэрмінолёгічныя слоўнікі, з значэньнем <i>проекту</i> які ў далейшым можа зьмяняцца, калі запатрабуе таго навуковы досьлед і пэдагогічная практыка.</p>
	<p>Глебазнаўчая тэрмінолёгія прагледжана і выпраўлена Г. Т. Камісіяю і ўхвалена да друку ў трох мовах − расійскай, беларускай і нямецкай.</p>
	<p>Выпускаючы ў сьвет кожную тэрмінолёгію, Г.-Тэрмінолёгічная Камісія і далей зьбірае тэрмінолёгічны матар‘ял − народны і літаратурны, каб у наступных выданьнях пашыраць і выпраўляць тое, што на падставе новага матар’ялу будзе вымагаць належных выправак і дадаткаў.</p>
	<p>Даць дакладную тэрмінолёгію, якая-б адпавядала ў поўнай меры навуковасьці і здавальняла-б пэдагогічную практыку − справа нялёгкая, і Камісія лічыць, што ўдасканаліць сваю работу яна зможа толькі ў тым выпадку, калі на помач ёй прыдзе актыўная праца ўсіх зацікаўленых асоб і ўстаноў. Вось чаму Камісія зварачаецца да іх з просьбаю дапамагчы ёй у цяжкай справе распрацаваньня беларускае навуковае тэрмінолёгіі.</p>
	<p>Сабраны тэрмінолёгічны матар‘ял Камісія просіць надсылаць у Інбелкульт (Менск, Рэволюцыйная, 21) на імя Галоўнае Тэрмінолёгічнае Камісіі. Корэспондэнцыя на імя Інбелкульту паштовай аплаце не падлягае.</p>
	<p> </p>
	<p>Галоўная Тэрмінолёгічная Камісія.</p>
	<p>Менск, 10 мая 1927 г.</p>
</div>
<div>
	<p class="spoiler">Прадмова</p>
	<p>Укладаньне беларускае глебазнаўчае тэрмінолёгіі пачата мною з 1924 году і працягнулася, гэткім чынам, тры гады. Гэткі доўгі тэрмін тлумачыцца як цяжкасьцю самое працы, так і тым, што пры ўкладаньні тэрмінолёгіі, у яе беларускай частцы, тэрміны набываліся ў розных мясцох Беларусі, што я мог рабіць на працягу досыць абмежаванага часу − улетку 1924, 25 і 26 гадоў.</p>
	<p>Усю працу па складаньні тэрмінолёгіі можна падзяліць на некалькі частак. Перш за ўсё былі выпісаны расійскія тэрміны з лепшых курсаў глебазнаўства апошніх выданьняў і з надрукаваных глебазнаўчых прац пра Беларусі; тэрміны выпісваліся як спэцыяльныя, гэтак і іншыя, якія наогул ужываюцца ў гэтай галіне. Апрача гэтых тэрмінаў, у расійскую частку тэрмінолёгіі былі ўведзены яшчэ „падвойныя” тэрміны (два словы на адно паняцьце), якія зьявіліся дзякуючы таму, што ў замежнай, асабліва нямецкай, літаратуры ўжываецца цэлы рад слоў, якія парасійску немагчыма перавесьці адным словам, і якія, бязумоўна, павінны знаходзіцца ў глебазнаўчым слоўніку. Некаторыя з гэткіх слоў знайшлі сабе выраз у адным беларускім слове, некаторыя ў двох, але большую частку іх я пакінуў, як міжнародныя, але у беларускай транскрыпцыі.</p>
	<p>Гэткім чынам знайшлося больш за тысячу тэрмінаў. Яны былі ўзгоднены з надрукаванай ужо Інбелкультам тэрмінолёгіяй − агульнай геолёгічнай і географічнай. У выніку гэтай працы частка тэрмінаў была выкінута, як ужо надрукаваных, частка-ж была пакінута, бо бяз іх глебазнаўчы слоўнік ня быў-бы поўным. Далей можна было пачаць укладаньне беларускай часткі тэрмінолёгіі. </p>
	<p>Перш за ўсё былі адзначаны тэрміны, якія можна было знайсьці ў народнай мове, паняцьці якіх былі-б знаёмы беларускаму сялянству. Сьпіс гэтых тэрмінаў, трэба сказаць невялікі, запаўняўся на мясцох як у часы глебазнаўчых досьледаў на Беларусі, якія я праводзіў у памянёныя вышэй гады, гэтак-жа і ў часы прыватных паездак па Беларусі. Гэтак былі набыты тэрміны з некаторых частак Магілеўшчыны, Калініншчыны, Меншчыны, Случчыны, Віцебшчыны.</p>
	<p>Далейшая праца была ў адшуканьні найлепшага беларускага выразу для тых слоў, якіх ня было ў жывой народнай мове. Большасьць з гэтых слоў я пакінуў у міжнароднай форме, але ў беларускай транскрыпцыі, тым больш, што і ў расійскай мове яны ўжываюцца як чужаземныя.</p>
	<p>Далей былі ўкладзены украінская і нямецкая часткі тэрмінолёгіі. Тут я карыстаўся як слоўнікамі, гэтак-жа і навейшай украінскай і нямецкай глебазнаўчай літаратурай.</p>
	<p>У заключэньне лічу патрэбным адзначыць, што нямецкую частку тэрмінолёгіі мне ласкава прарэдагаваў магістар агрономіі Г. В. Краўзэ, за што складаю яму сваю шчырую падзяку.</p>
	<p> </p>
	<p>Сьпіс</p>
	<p>літаратуры, выкарыстанае пры складаньні Беларускае Глебазнаўчае Тэрмінолёгіі.</p>
	<p>1.	Глинка К. Д. Почвоведение.</p>
	<p>2.	Вильямс В. Р. Почвоведение.</p>
	<p>3.	Афанасьев Я. Н. Этюды о покровных породах Белоруссии.</p>
	<p>4.	Афанасьев Я. Н. Очерки почв Белоруссии.</p>
	<p>5.	Гедройц К. К. Учение о поглотительной способности почвы.</p>
	<p>6.	Гедройц К. К. − статьи о ненасыщенности почв и ультрамеханическом составе.</p>
	<p>7.	Гедройц К. К. Химический анализ почв.</p>
	<p>8.	Дюкло. Коллонды.</p>
	<p>9.	Часопіс „Почвоведение” за апошнія гады.</p>
	<p>10.	 Беларуская Навуковая Тэрмінолёгія:</p>
	<p>выпуск трэці − географічныя і г. д. гэрміны</p>
	<p>выпуск пяты − геолёгія, мінэралёгія і г. д.</p>
	<p>выпуск восьмы − лясныя тэрміны. </p>
	<p>11.	 Расійска-беларускі слоўнік (Байк. і Гарэцк.).</p>
	<p>12.	 В. Ластоўскі. Расейска-крыўскі слоўнік.</p>
	<p>13.	 П. Tутковський, акад. словник геологічноï терминологіï.</p>
	<p>14.	 Г. Махов. Грунтознавство.</p>
	<p>15.	 Русско-украинские словари (апошніх выпускаў).</p>
	<p>16.	 Павловский. Немецко-русский и русско-немецкий словари.</p>
	<p>17.	 „Internationale Mitteilungen für Bodenkunde” за апошнія гады.</p>
	<p>18.	 Actes de la IV conférence internationale de pédologie. Rome, 1924. (Ha нямецкай i іншых мовах).</p>
	<p>19.	Verhandlungen der II bodenkündlichen. Kommission. 1926, Teil A und В.</p>
	<p> </p>
	<p><i>Кучынскі П.</i></p>
	<p>Асьпірант пры Глебазнаўчай катэдры Белорускай Дзяржаўнай Сельска-Гаспадарчай Акадэміі у Горках.</p>
	<p> </p>
	<p>Горкі. С.-Г. Акадэмія 22 студзеня 1927 г.</p>
</div>
##HTMLDescription_END
##ArticleLang: ru/be/de

абсолютный вес почвы	абсолютная вага глебы	das absolute Gewicht des Bodens 
абсорбция	абсорбцыя, убіраньне агульнае	die Absorbtion 
автоматические весы (Odeu'a)	аўтоматычная вага, самаўзважнік	die automatisch registrierende Balance 
аггрегат	агрэгат, скупнасьць	der Aggregatzustand, ursprüngliche Zustand 
адсорбция	адсорбцыя, убіраньне паверхнае	die Adsorbtion 
азональный	азональны	azonal, nicht in Zonen eingefügt 
азот атмосферных осадков	ападкавы азот 	der Stickstoff der Niederschläge 
азот гуминовой кислоты	азот гумінавай кіслаты	der Stickstoff der Humussäure 
азот гумуса	азот перагнойны	der Humusstickstoff 
аккумуляция	акумуляцыя, награмаджэньне (T. 6)	die Accumulation 
аккумуляционные горизонты	паземы награмаджэньня	die Sammelnschichte  
аллювий 	алюві, наплавы, намыў (T. 6)	das Alluvium, der Alluvialboden 
аллювиальные отложения	наплыўныя, намыўныя адклады	die Alluvialablagerungen 
алюмосиликат 	алюмасылікат 	das Aluminiumsilikat, Alumosilikat 
алюмосиликатный комплекс	алюмасылікатны комплекс	der Alumosilikatkomplex
аммонизация	амонізацыя	die Ammonisation 
анаморфизм  	анаморфізм, скажанаформнасьць	die Umbildung   
анаэробный	беспаве´травы	anaërisch 
ангидрид хромовый	ангідрыд хромавы	das Chromanhydrid, Chromsäure (die) 
анион	аніён	das Anion 
аморфный	бясформны	amorph, formlos 
апокреновая кислота	апокрэнавая кіслата	die Apokrensäure  
аппарат Робинзона (механический aппарат)	піпэтнік, Робінзонаў апарат	der Pipettapparat  
аспиратор 	паветравыцяжнік, асьпіратар	der Aspirator  
аэробный	паветравы	aërisch 
бак Шенэ 	бак, чоп Шэнэ 	der Schön'sche (Back) Reservoir 
белозем 	сyxi пазем 	die wasserlose Schicht 
белоглазка 	белавочка 	der weisse Tupf, Flecken 
безводный горизонт	белазем, белаглебіца	der Weissboden, weisse Boden 
беспорядочное падение	беспара´дачны апад	das unregelmässige Herabfallen 
бледнозем	бледназем	die Bleicherde 
блюдце 	круглая западзіна 	die schüsselartige Vertiefung 
бокал Сикорского 	кубак Сікорскага 	der Becher von Sikorski 
болото травяное 	балота, багна, дрыгва, арша	das Moor, der Sumpf  
болото моховое 	імшара, амшарына 	das Moosmoor, Hochmoor 
бонитировка 	ацэнка 	die Abschätzung (des Bodens) 
бугор моренный	груд морэнавы(у слоўніку магчыма памылка друку - марэнавы)	der Moränenhügel 
бур	земляны сьвідар	der Erdbohrer 
бурозем	буразем	die Braunerde 
буферная смесь	буфарнік	die Puffermischung 
буферное значение 	буфарны азначнік	der Pufferwert  
буферное состояние	буфарнасьць 	der Pufferzustand  
бобовины (железной руды)	бабовіны, рудзяк 	das Bohnenerz, Bohnerz 
валовой анализ	агульны аналіз	die Bauschanalyse 
валун 	камень-валун 	der Feldstein, Klaubstein 
вгибать	угінаць	einbiegen 
