##Title: Nomina Anatomica Alboruthenica (выпуск III) (БНТ)
##HTMLDescription_BEGIN
<div>
	<p class="dictdesc-st">Створана на падставе:</p>
	<p><b>Nomina anatomica alboruthenica (выпуск III)</b>. Менск: Інбелкульт, 1929. (часткова)</p>
</div>
<div>
	<p class="spoiler">Прадмова</p>
	<p>Спосаб апрацаваньня гэтага проекту нэўралёгічнае тэрмінолёгіі і тэрмінолёгіі органаў адчуваньняў, агульнага пакрыцьця і дзядзінаў чалавечага цела застаўся ранейшы (бач. выпуск I i II „Nomina anatomica alboruthenica”).</p>
	<p>Апроч раней паказаных крыніц, былі выкарыстаны яшчэ наступныя:</p>
	<p>1. Rauber.-Kopsch. Lehrbuch und Atlas der Anatomie des Menschen Abt. 5: Nervensystem und Abt. 6: Sinnesorgane. Leipzig 1923.</p>
	<p>2. Руководство анатоміи человѣка А. Раубера. Томъ 6: Ученіе объ органахъ чувствъ. Петроградъ 1915.</p>
	<p>3. В. Шпальтегольцъ. Атласъ по анатоміи человѣка. Ч. 3, вып. 2 Москва 1916 г.</p>
	<p>4. Rouviére. Anatomie humaine descriptive et topographique. Paris 1927.</p>
	<p>Месца націскаў у беларускім тэксьце за адсутнасьцю адпаведных знакаў у некаторых разох адзначаецца курсыўнымі літарамі.</p>
	<p>Слоўнік мэдычнае тэрмінолёгіі, як і ўсе папярэднія тэрмінолёгіі, выходзіць у сьвет як <i>проект</i> і мае дыскусыйны характар. У далейшым ён можа зьмяняцца, калі запатрабуе таго штодзённая практыка, але <i>для аўтараў падручнікаў гэтая тэрмінолёгія зьяўляецца абавязковаю</i>, покі ня зроблены будуць зьмены, прынятым у БАН парадкам.</p>
	<p>Выпускаючы у сьвет кожную тэрмінолёгію, Інстытут Навуковае Мовы і далей зьбірае тэрмінолёгічны матар‘ял – народны і літаратурны, каб у наступных выданьнях пашыраць і выпраўляць тое, што на падставе новых даных будзе вымагаць патрэбных дадаткаў і паправак.</p>
	<p>Даць дакладную і дасканалую тэрмінолёгію, якая-б у поўнай меры адпавядала навуковасьці і практычнасьці − справа нялёгкая – І. Н. М. лічыць, што ўдасканаліць сваю работу ён зможа толькі ў тым выпадку, калі на помач яму прыдзе актыўная праца ўсіх зацікаўленых асоб і ўстаноў. Дзеля гэтага Інстытут Навуковае Мовы зварачаецца да ўсіх з просьбаю надсылаць яму свае ўвагі і папраўкі.</p>
	<p>Сабраны матар’ял з тае ці іншае галіны навукі або ўвагі да тае ці іншае надрукаванае тэрмінолёгіі трэба пасылаць у Інбелкульт (Менск, Рэволюцыйная вул., № 21) на імя Інстытуту Навуковае Мовы. Корэспондэнцыя на імя БАН паштовай аплаце не падлягае.</p>
	<p> </p>
	<p>Люты 1928 г.</p>
	<p><i>Інстытут Навуковае Мовы.</i></p>
</div>
<div>
	<p class="spoiler">Увагі</p>
	<p>202) ependyma−atis, n. [τò έπένδὐμα=ό έπενδὐτης (έπί-на; ένδὐνω= ένδύω − надзяю; ὲπενδύω – надзяю паверх) – верхняя сукенка.</p>
	<p>203) Intumescentia−ae, f. [intumesco – tumui − mescere. 3 − набракаць, напухаць, надзімацца, павялічвацца, расьці] – літаральна можна было-б перадаць словамі „набракласьць”, „напухласьць”. Папольску „nabrzmienie”, укр. „потовщення”.</p>
	<p>204) Поўная назва: „пярэдні пучок паміж галаўнымі і сьпіннымі мазгамі. Палаціне галаўныя мазгі называюцца адным словам „cerebrum” і скарачэньне гэтага доўгага тэрміна можа быць зроблена лепш, чым пабеларуску. Палаціне толькі другая частка тэрміна недакладная, бо пучок ідзе не да восьцяў, як выходзіць паводле літаральнага значэньня тэрміна (… spinalis), але да сьпінных мазгоў, тым часам слова medulla прапушчана. Пабелар. і першая частка тэрміну ня зусім дакладная („мазгова…”) бо ёсьць-жа і галаўныя і сьпінныя мазгі, але злучэньня больш, чым двух слоў, беларуская мова ня церпіць, і такі (дакладны) тэрмін (галаўномазговасьпінна-мазговы пучок) быў-бы вельмі нязграбным і няжыцьцёвым.</p>
	<p>205) Тэрмін „тракт” дапасованы да пэўных анатомічных утварэньняў − пучок валокнаў, што злучаюць паасобныя часткі нэрвовае сыстэмы. Тэрмін „шлях” мае дастасаваньне да некалькіх трактаў, аб‘яднаных фізыёлёгічна. Розьніца ясна відаць з прыкладаў: „зрочны тракт” (ад chiasma n. n. opt. да thalamus opt., corp. genic. lat. i corp. quadrigem. ant.) I „зрочны шлях” (увесь шлях зрочнага ўзбуджэньня ад сеткавіцы да патылічнае кары).</p>
	<p>206) Cinereus-a-um. [cinis-eris, m. – попел] − літаральна значыць: падобны да попелу, папялісты. У pac. і укр. Тэрмінолёгіі прынята: серый, сірий, бо параўнаньне да попелу выдаецца цяпер ня так відавочным, як тым анатомам, што давалі назву: tuber cinereum. Папольску popielaty.</p>
	<p>207) Clavus-i, m. – цьвік, мазоль. Clavis-is, f. − ключ. Clava-ae, f. [ή κλάβα−ό κλάδος − галіна, булава, дубіна, сукаваты кій] (Крон. 90).</p>
	<p>208) Calamus-i, m. [ό κάλαμος − трысьціна, дудка, пішчалка, сьцябло, салома. Metencephalon-i, n. [meta=μετά − за, ззаду; τò ὲγκέφαλον=ό ὲγκέφαλος (ὲν-у, ή κεφαλή − галава) − тое, што ў галаве − мазгі і мозачкі].</p>
	<p>210) Рака робіць паварот − луку, лукавіну.</p>
	<p>211) Flocculus-i, m. − зьменшанае ад floccus-i, m. — касмык, жмут. Пол. kłaczek, укр. жмуток. </p>
	<p>212) Quadrigeminus-a-um [quadri... − 4, geminus—блізьнюк].</p>
	<p>213) Prosencephalon-i, n. [pros=πρòς − перад].</p>
	<p>214) Thalamus-i, m, [ό ϑάλαμος − спальня, ложак мужа з жонкаю, жаночая спальня камора для схову каштоўнасьцяў, крыёўка, спод карабля]. </p>
	<p>215) Pulvinar−aris, n. падушка, ложак.</p>
	<p>216) Telencephalon-i n, [τέλει − у канцы, здалёк; τò τέλος − канец, вынік, апошняя граніца, канец жыцьця, сьмерць].</p>
	<p>217) Hippocampus-i, m. [ό ίππὀκαμπος (ό ίππος − конь; ό  κάμπος — загіб, выгіб; ἠ καμπη − кіт) − морская мітычная жывела, падобная да каня, з рыб’ім загнутым хвастом.</p>
	<p>218) Гл. ўв. 110.</p>
	<p>219) Спачатку было прынята: digitationes − пальцаватасьці, як granulationes − зернаватасьці (гл. тэр. № 5367).</p>
	<p>220) Tapetum-i, n. − „Ковер“(Крон. 522) пабелар. „кілім” (Нас. 230), паўкр. „килим”, папольску прынята „obicie”.</p>
	<p>221) Claustrum-i, n. Замок, засаўка, запора, плот, агарожа, агароджанае месца, манастыр, кляштар.</p>
	<p>222) Arachnoidea-ae, f. [ἡ ἀράχνη − павук, павуціна, τò εἶδος − постаць].</p>
	<p>223) Ambiens−ntis ad ambio−ii−itum−ire 4−абыходзіць, абкружаць.</p>
	<p>224) Ophthalmicus-a-um agophthalmos − вока, [ό όφϑαλμός − вока, зрок, слонца і месяц (вочы неба), сьвятло, усякая рэч, каштоўная як вока]. N. ophthalmicus − літаральна: „вочная нэрва”, і гэтак перакладаецца ў польскай, украінскай, нямецкай тэрміналёгіях. Але-ж частка разгаліненьняў гэтае нэрвы ідзе не да вока, і дзеля гэтага ў расійскай тэрміналёгіі прынята іншая назва: „глазничный нерв”.</p>
	<p>225) Cilium-ii, n. − вейка. N. n. ciliares называюцца так не таму, што ідуць да веек, але таму, што яны падобны да веек.</p>
	<p>226) N. masticatorius аддае галінкі да ўсіх цягліц, што прымаюць удзел у жаваньні, у тым ліку і да n. masseter.</p>
	<p>227) Cochlea-ae, f. (ó κόχλος) — сьлімак. Папольску прынята „ślimak”, паукр. − „слимак”, парасійску − „улитка”. Праектавалася і пабелар. „сьлімак”, але Гал. тэрм. кам. зьмяніла, грунтуючыся на тым, што ня ўсе сьлімакі маюць кохлеарыформна закручаную чарапашынку.</p>
	<p>228) Nodosus-a-um − вузлаваты, a ganglion-ii, n. − вузел. Выходзіць таўталёгія: „вузлаваты вузел”. Гэтая таўталёгія ў ўкр. тэрм. абходзіцца тым, што ў ёй ganglion наогул застаецца без перакладу: вузловий ганглій. Папольску ganglion усюды перадаецца словам zwój, і ў даным выпадку таўталёгіі няма: zwój węzłowy. Pac. спроба: „пучковидный узел” ня вельмі удалая.</p>
	<p>229) „Крапіла” зьяўляецца народнаю беларускаю назваю.</p>
	<p>230) Разьмежаваць n. n. clunium i n. n. glutaei нялёгка, (выходзячы са значэньня лацінскіх назваў) і дзеля гэтага яны ў укр. і польск. тэрміналёгіі блытаюцца: n. n. pośladkowe, нерви сідничні. Парасійску зроблена спроба размежаваць ix: Clunis-is, m. (it. Clunes-ium. pl. Horat.) − задніца, зад.</p>
	<p>231) Гл. ўв. 186.</p>
	<p>232) Форма Гал. тэрм. кам.: „сымпатыйная”.</p>
	<p>233) „Пачуцьцё” гневу, „пачуцьцё” радасьці і г. д.; „адчуваньне” гукаў, белага колеру, формы рэчаў і г. д.</p>
	<p>234) Згодна з сэнсам слова bulbus і ўжываньнем дзеля яго перакладу слова „цыбуліна” (тэрм. № 3430, 3580), тут таксама трэба было-б сказаць: „вочная цыбуліна”, што правільна, але выклікае ў людзей такую ўсьмешку, якое „вочны яблык” не выклікае, можа, дзеля прывычкі да расійскага „глазного яблока”.</p>
	<p>235) Гэограф. тэрм.</p>
	<p>236) Sclera-ae, f. [σκληρός-ά-όν − цьвёрды, сухі, востры, суровы]. Папольску − „twardówka”. Назва „бялочная абалонка” (белочная оболочка) выходзіць з тых-жа разуменьняў, што tunica albuginea і, такім чынам, перакладам слова „sclera” не зьяўляецца.</p>
	<p>237) Cornea-ae, f. [cornu, n. − рог]. Літаральна „роговица”, але ў Драздовіча ёсьць назва „празарока”, што добра перадае фізыёлёгічнае значэньне, якое мае „cornea”.</p>
	<p>238) Rete-is, n. − сетка. Retina-ae, f. − папольску „siatkówka”, паўкр. „сітківка”.</p>
	<p>239) Гл. ўв. 54. Tarsus palpebralis складаецца не з храстковае тканкі. Польская назва „tarczka” і беларуская − „шчыток” лепш падходзяць, чым pac. і ўкр. „хрящ”.</p>
	<p>240) Іначай: „веенкі”.</p>
	<p>241) Pingue-is, n. − тлушч; зьмяншэньне: „тлушчык”. Папольску pinguecula перадаецца проста словам „tłuszczyk”, паўкр.: „сполучнична пляма”, парасійску апісальна: „желтоватое пятно на белочной оболочкё глаза у пожилых людей” (ОКС).</p>
	<p>242) Rivus-i, m. − ручай, канава.</p>
	<p>243) Гл. ўв. 178.</p>
	<p>244) Flacceo−ui−ere, 2 i flaccesco−ui−ere, 3 вянуць, слабець. Flaccida — папольску „wiotka”, паўкр. „в'яла”. </p>
	<p>245) ό τράγος − казёл.</p>
	<p>246) Auris-is, f. − вуха; auricula-ae. f. − вушка.</p>
	<p>247) Helix-icis, f. [ἡ ελιξ-ικος − усё скручанае, вір вады, кругі вужа, вусы вінаграду, плюшчу, кудры, нараменьнік, закрутка вуха].</p>
	<p>248) Cutis-is, f. [τò σκῦτος=κύτος-εος − пакрыцьцё, павалока, скура, кара; рэчы, зробленыя са скуры: вобуй, біч, шчыт=scutum].</p>
	<p>Epidermis-is, f. [epi − над, на, derma − скура].</p>
	<p>Corium-i, n. [τò χόριον − скура, скура на целе (ням. Haut), скура, зьдзертая з цела (ням. Leder), скура вырабленая, рэмень, кара, скурка апэльсіну, лушпа, луска, скарынка на хлебе].</p>
	<p>249) Matrix-icis, f. − матка (саміца), што корміць сваіх дзяцей; пень, ад якога растуць галіны; крынща, пачатак, маціца, маці, мэтрыка.</p>
	<p>250) Regio-onis, f. − лінія, кірунак, граніца, мяжа, шлях, старана, край, частка краю, краіна, ваколіца. Мэд. тэрм. кам. прапанавала: „ваколіца”, „дзялянка”. Польск. „okolica”, укр. „ділянка”.</p>
</div>
##HTMLDescription_END
##ArticleLang: la/ru/be

neurologia	неврология	нэ´рваве´даньне, нэ´ўралё´гія	@@
nervus	нерв	нэ´рва	
ganglion	узел	ву´зел	
substantia alba	белое вещество	бе´лая матэ´рыя	
substantia grisea	серое вещество	шэ´рая матэ´рыя	
substantia gelatinosa	студенистое вещество	дрыгві´стая матэ´рыя	
taenia telarum	ремешок покрышек	раме´нчык пакры´вак	
ependyma ventriculorum [202]	эпендима желудочков	эпэнды´ма страўнічко´ў	
sulcus limitans ventriculorum	пограничная борозда желудочков	межава´я баразна´ страўнічко´ў	
nuclei nervorum cerebralium	ядра черепных нервов	я´дры мазго´вых нэ´рваў	
nuclei originis	начальные ядра	я´дры пача´тачныя	
nuclei terminales	концевые ядра	я´дры канцавы´я	
ramus communicans	сообщительная ветвь	злуча´льная галі´на	
ramus anastomoticus	соединительная ветвь	анастомо´зная галі´на	
ramus muscularis	мышечная ветвь	цяглі´чная галі´на	
nervus cutaneus	кожный нерв	ску´рная нэ´рва	
nervus articularis	суставный нерв	суста´ўная нэ´рва	
plexus nervorum spinalium	сплетение спинно-мозговых нервов	спляце´ньне сьпі´нна-мазго´вых нэ´рваў	
conjugatio simplex	простое соединение	про´стае злучэ´ньне	
conjugatio mutua	взаимное соединение	узае´мнае злучэ´ньне	
decussatio	перекрест	скрыжава´ньне	
systema nervorum centrale	центральная нервная система	цэнтра´льная нэрво´вая сыстэ´ма	@@
medulla spinalis	спинной мозг	сьпі´нныя мазгі´	@
pars cervicalis	шейная часть	шы´йная ча´стка	
intumescentia cervicalis [203]	шейное утолщение	шы´йнае патаўшчэ´ньне	
pars thoracalis	грудная часть	грудна´я ча´стка	
pars Iumbalis	поясничная часть	паясьні´чная ча´стка	
intumescentia lumbalis	поясничное утолщение	паясьні´чнае патаўшчэ´ньне	
conus medullaris	мозговой конус	сьпі´ннамазго´вы ко´нус	
filum terminale	конечная нить	канцава´я ні´тка	
ventriculus terminalis	конечный желудочек	канцавы´ страўнічо´к	
fissura mediana anterior	передняя срединная щель	пярэ´дняя сярэ´дзінная шчы´ліна	
sulcus medianus posterior	задняя срединная борозда	за´дняя сярэ´дзінная баразна´	
sulcus lateralis anterior	передняя боковая борозда	пярэ´дняя бакава´я баразна´	
sulcus lateralis posterior	задняя боковая борозда	за´дняя бакава´я баразна´	
sulcus intermedius posterior	задняя промежуточная борозда	за´дняя праме´жная баразна´	
sulcus intermedius anterior	передняя промежуточная борозда	пярэ´дняя праме´жная баразна´	
funiculi medullae spinalis	канатики спинного мозга	кно´цікі сьпі´нных мазго´ў	
funiculus anterior	передний канатик	пярэ´дні кно´цік	
funiculus lateralis	боковой канатик	бакавы кно´цік	
funiculus posterior	задний канатик	за´дні кно´цік	
pars sacralis	крестцовая часть	крыжо´вая ча´стка	
filum terminale internum	внутренняя конечная нить	нутрана´я канцава´я ні´тка	
filum terminale externum	наружная конечная нить	во´нкавая канцава´я ні´тка	
sectiones medullae  spinalis	разрезы спинного мозга	разрэ´зы сьпі´нных мазго´ў	@
canalis centralis	центральный канал	асяро´дкавы ход	
substantia grisea centralis s. substantia gelatinosa centralis	центральное cepoe вещество или центральное студенистое вещество	асяро´дкавая шэ´рая матэ´рыя, альбо Асяро´дкавая дрыгві´стая матэ´рыя	
commissura anterior alba	передняя белая спайка	пярэ´дні бе´лы зьвя´зак	
commissura anterior grisea	передняя серая спайка	пярэ´дні шэ´ры зьвя´зак	
commissura posterior	задняя спайка	за´дні зьвя´зак	
columnae griseae	серые столбы	шэ´рыя слупкі´	
columna anterior	передний столб	пярэ´дні слупо´к	
columna lateralis	боковой столб	бакавы´ слупо´к	
columna posterior	задний столб	за´дні слупо´к	
cervix columnae posterioris	шейка заднего столба	шы´йка за´дняга слупка´	
apexcolumnae posterioris	верхушка заднего столба	вяршо´к за´дняга слупка´	
substantia gelatinosa [posterior] (Rolandi)	студенистое вещество [заднее] (Роланда)	дрыгві´стая матэ´рыя [за´дняя] (Роля´нда)	
nucleus dorsalis (Stillingi, Ciarkii)	заднее ядро (Штиллинга,Кларка)	за´дняе ядро´ (Шты´льлінга,Кля´рка)	
formatio reticularis	сетевидное образование	сеткава´тае ўтварэ´ньне	
funiculus anterior	передний канатик	пярэ´дні кно´цік	
fasciculus cerebrospinalis anterior s. pyramidalis anterior [204]	передний головноспинной пучок или передний пирамидный	пярэ´дні мазго´васьпі´нны пучо´к альбо´ пярэ´дні пірамі´дны	
fasciculus anterior proprius (Flechsigi)	собственный передний пучок (Флексига)	уласьці´вы пярэ´дні пучо´к (Фле´ксыга)	
funiculus lateralis	боковой канатик	бакавы´ кно´цік	
fasciculus cerebrospinalis lateralis s. pyramidalis lateralis	боковой головноспинной пучок или боковой пирамидный	бакавы´ мазго´васьпі´нны пучо´к альбо´ бакавы´ пірамі´дны	
fasciculus cerebellospinalis	мозжечковоспинной пучок	мо´зачкава-сьпі´нны пучо´к	
fasciculus anterolateralis superficialis (Goversi)	пучок переднебоковой поверхности (Говерса)	пярэ´днябакавы´ павярхо´ўны пучо´к (Го´вэрса)	
fasciculus lateralis proprius (Flechsigi)	собственный боковой пучок (Флексига)	уласьці´вы бакавы´ пучо´к (Фле´ксыга)	
funiculus posterior	задний канатик	за´дні кно´цік	
fasciculus gracilis (Golli)	нежный пучок (Голля)	згра´бны пучо´к (Го´льля)	
fasciculus cuneatus (Burdachi)	клиновидный пучок (Бурдаха)	клінава´ты пучо´к (Бу´рдаха)	
septum posterius	задняя перегородка	за´дняя перагаро´дка	
septula medullae spinalis	перегородочка спинного мозга	перагаро´дачка сьпі´нных мазго´ў	
caput columnae posterioris	головка заднего столба	гало´ўка за´дняга слупка´	
zona terminalis	краевой пояс	прыкра´йні по´яс	
zona spongiosa	губчатый пояс	наздрава´ты по´яс	
tractus rubrospinalis (Monakowi) [205]	красноспинной путь (Монакова)	чырво´насьпі´нны тра´кт (Манако´ва)	
tractus tectospinalis	покрышечноспинной путь	пакры´вачна-сьпі´ннамазго´вы тракт	
tractus vestibulospinalis	преддверноспинной путь	прысе´начна-сьпі´ннамазго´вы тракт	
fasciculus longitudinalis medialis	внутренний продольный пучок	прысярэ´дні прадо´ўжны пучо´к	
tractus spinothalamicus (Edingeri)	спинноталамический путь (Эдингера)	сьпі´нназро´чны тракт (Э´дынгера)	
tractus spinoolivaris (Bechterewi)	спиннооливный путь(Бехтерева)	сьпі´ннааліўны тракт (Бе´хцерава)	
tractus cervicolumbalis dorsalis (Flechsigi)	тыльный шейно-поясничный путь (Флексига)	ты´льны шы´йна-паясьні´чны тракт (Фле´ксыга)	
encephalon	головной мозг	мазгі´ галаўны´я	@@
rhombencephalon	ромбовидный мозг	рамбава´тыя мазгі´	@
myelencephalon	замозжье	замазго´ўе	@
medulla oblongata	продолговатый мозг	падо´ўжныя мазгі´	@
fissura mediana posterior	задняя срединная щель	за´дняя сярэ´дзінная шчы´ліна	
fissura mediana anterior	передняя срединная щель	пярэ´дняя сярэ´дзінная шчы´ліна	
foramen coecum	слепое отверстие	сьляпа´я атво´рына	
pyramis medullae oblongatae	пирамида продолговатого мозга	пірамі´да падо´ўжных мазго´ў	
decussatio pyramidum	перекрест пирамид	скрыжава´ньне пірамі´даў	
sulcus lateralis anterior	передняя боковая борозда	пярэ´дняя бакава´я баразна´	
sulcus lateralis posterior	задняя боковая борозда	за´дняя бакава´я баразна´	
oliva	олива	алі´ва	
corpus restiforme	веревчатое тело	вяро´ўкаватае це´ла	
funiculus lateralis	боковой канатик	бакавы´ кно´цік	
funiculus cuneatus	клиновидный канатик	клінава´ты кно´цік	
tuberculum cinereum	серый бугорок	папялі´сты грудо´к	
funiculus gracilis	нежный канатик	згра´бны кно´цік	
clava [207]	мозоль	булава´	
fibrae arcuatae externae	наружные дугообразные волокна	во´нкавыя дугава´тыя вало´кны	
sectiones medullae oblongatae	разрезы продолговатого мозга	разрэ´зы падо´ўжных мазго´ў	@
raphe	шов	шво	
stratum nucleare	ядерный слой	я´дравы пласт	
nucleus nervi hypoglossi	ядро под‘язычного нерва	ядро´ пад‘язы´чнае нэ´рвы	
nucleus ambiguus	двойное ядро	падво´йнае ядро´	
nucleus alae cinereae	ядро серого крыла	ядро´ папялі´стага крыла´	
tractus solitarius	одиночный тракт	адзіно´чны тракт	
nucleus tractus solitarii	ядро одиночного тракта	ядро´ адзіно´чнага тра´кту	
tractus spinalis nervi trigemini	спинной тракт тройничного нерва	сьпі´ннамазго´вы тракт трайча´стае трохблізьня´чае нэ´рвы	
nucleus tractus spinalis nervi trigemini	ядро спинного тракта тройничного нерва	ядро´ сьпі´ннамазго´вага тра´кту трайча´стае нэ´рвы	
nucleus funiculi gracilis	ядро нежного канатика	ядро´ згра´бнага кно´ціка	
nucleus funiculi cuneati	ядро клиновидноro канатика	ядро´ клінава´тага кно´ціка	
nuclei laterales	боковые ядра	бакавы´я я´дры	
nucleus olivaris inferior	нижнее ядро оливы	ні´жняе алі´ўнае ядро´	
hilus nuclei olivaris	вход в ядро оливы	варо´ты алі´ўнага ядра´	
nucleus olivaris accessorius medialis	прибавочное внутреннее ядро оливы	дадатко´вае прысярэ´дняе алі´ўнае ядро´	
nucleus olivaris accessorius dorsalis	прибавочное тыльное ядро оливы	дадатко´вае ты´льнае алі´ўнае ядро´	
nuclei arcuati	дугообразные ядра	дугава´тыя я´дры	
fibrae arcuatae internae	внутренние дугообразные волокна	нутраны´я дугава´тыя вало´кны	
substantia reticularis grisea	серое сетевидное вещество	шэ´рая сеткава´тая матэ´рыя	
substantia reticularis alba	белое сетевидное вещество	бе´лая сеткава´тая матэ´рыя	
fasciculus longitudinalis medialis	внутренний продольный пучок	прысярэ´дні прадо´ўжны пучо´к	
stratum interolivare lemnisci	межоливный слой петли	міжалі´ўны пласт пятлі´	
decussatio lemniscorum	перекрест петель	скрыжава´ньне пе´тляў	
corpus restiforme	веревчатое тело .	вяро´ўкаватае це´ла	
fasciculi corporis restiformis	пучки веревчатого тела	пучкі´ вяро´ўкаватага це´ла	
fibrae cerebelloolivares	мозжечковооливные волокна	мо´зачкаваалі´ўныя вало´кны	
fasciculi pyramidales	пирамидные пучки	пірамі´дныя пучкі´	
fibrae arcuatae externae	наружные дугообразные волокна	во´нкавыя дугава´тыя вало´кны	
nucleus dorsalis nervi accessorii	тыльное ядро прибавочного нерва	ты´льнае ядро´ дадатко´вае нэ´рвы	
formatio reticularis	сетевидное образование	сеткава´тае ўтварэ´ньне	
fibrae arcuatae externae anteriores	передние наружные дугообразные волокна	пярэ´днія во´нкавыя дугава´тыя вало´кны	
lemniscus medialis	внутренняя петля	прысярэ´дняя пятля´	
fasciculus cerebellospinalis	мозжечковоспинномозговой пучок	мо´зачкавасьпі´нны пучо´к	
fibrae arcuatae externae posteriores	задние наружные дугообразные волокна	за´днія во´нкавыя дугава´тыя вало´кны	
tractus thalamoolivaris	таламическооливный путь	зро´чнаалі´уны шля´х	
nucleus eminentiae medialis	ядро внутреннего возвышения	ядро´ прысярэ´дняга ўзвы´шша	
nucleus intercalatus	вставочное ядро	уста´ўленае ядро´	
nucleus nervi vestibuiaris medialis (Schwalbe)	внутреннее ядро нерва преддверия (Швальбе)	прысярэ´дняе ядро´ прысе´начнае нэ´рвы (Шва´льбэ)	
radix descendens nervi vestibularis	нисходящий корешок нерва преддверия	спускны´ ко´рань прысе´начнае нэ´рвы	
pedunculus nuclei olivaris	ножка ядра оливы	но´жка алі´ўнага ядра´	
nucleus praepositus nervi hypoglossi	переднее ядро прибавочного нерва	пярэ´дняе ядро´ дадатко´вае нэ´рвы	
nucleus nervi cochlearis ventralis	переднее ядро нерва улитки	брушно´е ядро´ скру´тачнае нэ´рвы	
nucleus nervi cochlearis dorsalis	тыльное ядро нерва улитки	ты´льнае ядро´ скру´тачнае нэ´рвы	
ventriculus quartus	четвертый желудочек	чацьвё´рты страўнічо´к	@
