##Title: Слоўнік тэрміналёгіі агульнае расьлінагадоўлі (праект) (БНТ)
##HTMLDescription_BEGIN
<div>
	<p class="dictdesc-st">Створана на падставе:</p>
	<p><b>Слоўнік тэрміналёгіі агульнае расьлінагадоўлі (праект)</b>. Менск: Інбелкульт, 1930.</p>
</div>
<div>
	<p class="spoiler">Прадмова</p>
	<p>Гэты тэрміналёгічны слоўнік агульнай расьлінагадоўлі нельга прызнаць дасканалым з боку яго паўнаты і сыстэматычнасьці. Як і папярэднія тэрміналёгічныя слоўнікі, ён мае характар праекту. Кожны можа падаваць свае папраўкі і дадаткі, якія будуць прымацца пад увагу пры далейшай апрацоўцы тэрміналёгічных слоўнікаў у Тэрміналёгічнай Камісіі. Выпускаючы ў свет кожную тэрміналёгію, Тэрміналёгічная Камісія і далей зьбірае тэрміналёгмчны матар’ял − народны і літаратурны, каб у наступных выданьнях дапаўняць і выпраўляць тое, што на падставе новага матар’ялу будзе вымагаць належных дадаткаў і паправак. Тэрміналёгічная Камісія лічыць, што ўдасканаліць сваю работу яна зможа толькі ў тым выпадку, калі на помач ёй прыдзе актыўная праца ўсіх зацікаўленых асоб і ўстаноў.</p>
	<p>Пры ўкладаньні тэрміналёгіі выкарыстана наступная літаратура:</p>
	<p>1. Бараков П. Общее земледелие.</p>
	<p>2. Беларуская Навуковая Тэрміналёгія вып. III, V, VI, XVI.</p>
	<p>3. Биденко А. К вопросам теории и истории колективизации. </p>
	<p>4. Вильямс В. Р. проф. Общее земледелие.</p>
	<p>5. Винер В. В. проф. Общее земледелие.</p>
	<p>6. Винер В. В. проф. Растения полевой культуры.</p>
	<p>7. Винер В. В. проф. Сельско-хозяйственное опытное дело.</p>
	<p>8. Гедройц К. К. проф. Химический анализ почв.</p>
	<p>9. Дзямідовіч А: Бульба. Б. Дз. В. Менск. 1929 г.</p>
	<p>10. Домонтович М. К. Определение концентрации водородных ионов.</p>
	<p>11. Дояренко А. Г. проф. Краткое руководство к постановке вегетационных опытов.</p>
	<p>12. Егоров М. А. проф. Вопросы удобрения почв.</p>
	<p>13. Жегалов С. И. проф. Введение в селекцию.</p>
	<p>14. Каменский К. В. Методика исследования качества посевного материала.</p>
	<p>15. Киндеев К. Я. Как перейти к коллективному хозяйству. Изд. 4-ое. Москва. 1929.</p>
	<p>16. Котельников В. О. возделывании картофеля и корнеплодов. Изд. А. Девриена, 1917.</p>
	<p>17. Кравков С. П. проф. Общее земледелие.</p>
	<p>18. Ленис Ф. Начала сельско-хозяйственной бактериологии.</p>
	<p>19. Научно-Агрономический журнал за 1924, 1925 гг.</p>
	<p>20. Недокучаев Н. К. проф. Вегетационный метод.</p>
	<p>21. Недокучаев. Н. К. проф. Краткие основы полевого опыта.</p>
	<p>22. Павловский И. Я. Русско-Немецкий и Немецко-Русский словари.</p>
	<p>23. Палладин В. И. проф. Физиология растений.</p>
	<p>24. Прянишников Д. Н. проф. Химия растения.</p>
	<p>25. Прянишников Д. Н. проф. Частное земледелие.</p>
	<p>26. Ротмистров В. Г. Методика полевого опыта.</p>
	<p>27. Рытов Н. И. и Энгельгардт П. И. Исследование семян. 1929.</p>
	<p>28. Сапегин А. А. проф. Вариационная статистика.</p>
	<p>29. Тимирязев К. А. проф. Жизнь растений.</p>
	<p>30. Энциклопедия русского сельского хозяйства. Изд. А. Ф. Девриена.</p>
	<p>31. Alb. Christiansen. Taschenbuch einheimischer Pflanzen.</p>
	<p>32. Prof. Dr. Paul Ehrenberg. Die Bodenkolloide. Dritte Auflage. 1922.</p>
	<p>33. Prof. Dr. Paul Ehrenberg. Herausgegeben vom Stickstoff-Syndikat. Berlin.</p>
	<p>34. Prof. Dr. Paul Ehrenberg. Herausgegeben vom Kali-Syndikat. Berlin.</p>
	<p>35. J. Könik. Die Ermittlung des Düngerbedarfs des Bodens. Berlin. 1929. </p>
